0,9165
1,360
2,707
3,9401
4,7002
5,8850
6,1550
7,8314
8,9320
9,9888
10,130
11,4951
12,6270
13,5280
14,9823
15,3345
16,4017
17,3380
18,6516
19,3576
20,8947
21,6517
22,6741
23,20
24,7032
25,1969
26,81
27,1355
28,409
29,5665
30,2804
31,9737
32,5834
33,9376
34,5389
35,1300
36,4677
37,8969
38,969
39,6534
40,2342
41,3187
42,1984
43,8999
44,9227
45,4701
46,6848
47,5715
48,3465
49,8613
50,3454
51,3009
52,3761
53,2703
54,4099
55,125
56,65
57,1341
58,7422
59,593
60,8015
61,701
62,4213
63,5355
64,9564
65,1804
66,1153
67,7954
68,4367
69,2917
70,2650
71,5473
72,1001
73,7005
74,7638
75,758
76,7652
77,8303
78,4569
79,9856
80,5402
81,1468
82,1271
83,4240
84,7720
85,8623
86,9056
87,3057
88,257
89,4911
90,343
91,1291
92,7018
93,9304
94,4642
95,9658
96,5776
97,3307
98,9458
99,4147
100,7631
101,3854
102,3186
103,6163
104,4319
105,6624
106,3843
107,4926
108,4292
109,74
110,9912
111,5482
112,1639
113,5002
114,3303
115,6984
116,5556
117,8066
118,2975
119,751
120,1588
121,5079
122,4474
123,6395
124,539
125,5357
126,4078
127,136
128,6776
129,1171
130,197
131,7110
132,3686
133,5281
134,3398
135,9803
136,9701
137,7444
138,7105
139,264
140,6214
141,9219
142,3082
143,5507
144,5088
145,8513
146,694
147,9718
148,1998
149,2913
150,4442
151,2704
152,9840
153,5955
154,4460
155,8466
156,8122
157,5492
158,8896
159,4248
160,6517
161,5207
162,9932
163,8441
164,5957
165,2004
166,8106
167,3076
168,4110
169,4523
170,2093
171,4769
172,5760
173,911
174,1509
175,9518
176,8752
177,2653
178,9113
179,6586
180,9810
181,3644
182,7125
183,9867
184,5903
185,9174
186,8175
187,4999
188,9057
189,4247
190,9006
191,3826
192,8509
193,8948
194,4952
195,5037
196,5263
197,5100
198,1628
199,1118
200,4837
201,4579
202,5960
203,8031
204,6200
205,3882
206,7126
207,2703
208,2725
209,4877
210,4596
211,1581
212,6411
213,2204
214,2642
215,1600
216,5122
217,9592
218,27
219,2797
220,3590
221,9654
222,9575
223,8427
224,1208
225,7198
226,2686
227,749
228,6834
229,9211
230,7130
231,7582
232,3102
233,2191
234,2827
235,9709
236,4551
237,9299
238,1795
239,5323
240,5297
241,9893
242,73
243,3878
244,4604
245,2036
246,4707
247,1938
248,4962
249,4241
250,9199
251,9578
252,6599
253,2364
254,7716
255,5095
256,4879
257,2318
258,441
259,7830
260,5855
261,849
262,7766
263,9537
264,1282
265,9341
266,7794
267,2672
